Series Name,Country Name,Country Code,1990,1994,1996,1998,2000,2012,2014,2016,2018
CO2 emissions from gaseous fuel consumption (kt),Sri Lanka,LKA,0,0,0,0,0,0,0,0,0
CO2 emissions from gaseous fuel consumption (kt),United Kingdom,GBR,108110.494,137919.537,173977.148,181802.526,200174.196,152044.821,137281.479,158960.783,0
CO2 emissions from gaseous fuel consumption (kt),Ireland,IRL,4290.39,5023.79,6072.552,6417.25,7869.382,9211.504,8525.775,9713.883,0
CO2 emissions from gaseous fuel consumption (kt),Iceland,ISL,0,0,0,0,0,0,0,0,0
CO2 emissions from gaseous fuel consumption (kt),Australia,AUS,33875.746,35712.913,38496.166,40344.334,44147.013,65430.281,72606.6,79122.859,0
CO2 emissions from gaseous fuel consumption (kt),New Zealand,NZL,8870.473,9281.177,10010.91,9523.199,11587.72,8793.466,10062.248,9640.543,0
CO2 emissions from gaseous fuel consumption (kt),Niger,NER,0,0,0,0,0,0,0,0,0
CO2 emissions from gaseous fuel consumption (kt),Chad,TCD,0,0,0,0,0,0,0,0,0
CO2 emissions from gaseous fuel consumption (kt),Bangladesh,BGD,7583.356,11481.377,13509.228,14334.303,16893.869,41748.795,45969.512,53593.205,0
CO2 emissions from gaseous fuel consumption (kt),Haiti,HTI,0,0,0,0,0,0,0,0,0
CO2 emissions from gaseous fuel consumption (% of total),Sri Lanka,LKA,0,0,0,0,0,0,0,0,0
CO2 emissions from gaseous fuel consumption (% of total),United Kingdom,GBR,19.4202328,25.76057397,31.94233981,34.62707388,37.76016675,32.55220112,33.09183536,41.95433582,0
CO2 emissions from gaseous fuel consumption (% of total),Ireland,IRL,13.83996774,15.26523853,17.36006861,16.59490561,18.46405913,24.82885175,23.98248945,25.09398863,0
CO2 emissions from gaseous fuel consumption (% of total),Iceland,ISL,0,0,0,0,0,0,0,0,0
CO2 emissions from gaseous fuel consumption (% of total),Australia,AUS,12.85119347,12.81548534,12.84961648,12.31286517,13.03002066,16.96095627,19.62977182,20.60705777,0
CO2 emissions from gaseous fuel consumption (% of total),New Zealand,NZL,39.7600762,38.22560544,39.25847059,34.83247623,39.28040678,27.47099656,31.65224284,30.91899615,0
CO2 emissions from gaseous fuel consumption (% of total),Niger,NER,0,0,0,0,0,0,0,0,0
CO2 emissions from gaseous fuel consumption (% of total),Chad,TCD,0,0,0,0,0,0,0,0,0
CO2 emissions from gaseous fuel consumption (% of total),Bangladesh,BGD,65.82774306,84.79598966,80.3164566,74.46391169,78.03172748,71.99309364,72.05252665,72.67860727,0
CO2 emissions from gaseous fuel consumption (% of total),Haiti,HTI,0,0,0,0,0,0,0,0,0
CO2 emissions (kg per 2015 US$ of GDP),Sri Lanka,LKA,0.176782138,0.215481172,0.285095109,0.263562024,0.302626729,0.238228271,0.229285571,0.260387941,0.240763679
CO2 emissions (kg per 2015 US$ of GDP),United Kingdom,GBR,0.311828781,0.281103313,0.272813523,0.243093861,0.229791649,0.170383501,0.144254651,0.125950276,0.114918368
CO2 emissions (kg per 2015 US$ of GDP),Ireland,IRL,0.384296667,0.356104977,0.320941075,0.293301805,0.268526334,0.175485553,0.152531424,0.130472141,0.106563506
CO2 emissions (kg per 2015 US$ of GDP),Iceland,ISL,0,0,0.237399782,0.198002357,0.188031315,0.117896686,0.122219891,0.087533506,0.083530653
CO2 emissions (kg per 2015 US$ of GDP),Australia,AUS,0.417815222,0.410418757,0.408618927,0.410657863,0.389015741,0.308065579,0.28114992,0.277458069,0.265085672
CO2 emissions (kg per 2015 US$ of GDP),New Zealand,NZL,0.253801082,0.246487596,0.238221951,0.247722093,0.247350206,0.19945291,0.186264346,0.168801761,0.163588286
CO2 emissions (kg per 2015 US$ of GDP),Niger,NER,0.147642659,0.137288165,0.148464013,0.14604881,0.148160673,0.228824473,0.231771238,0.206058533,0.169164535
CO2 emissions (kg per 2015 US$ of GDP),Chad,TCD,0.155921142,0.157978958,0.159769389,0.147675438,0.0925596,0.197238842,0.212097376,0.215286568,0.214811043
CO2 emissions (kg per 2015 US$ of GDP),Bangladesh,BGD,0.218041383,0.215894402,0.244233184,0.254188618,0.259393852,0.356143561,0.348641648,0.355960846,0.349121528
CO2 emissions (kg per 2015 US$ of GDP),Haiti,HTI,0.091545968,0.021227572,0.103476838,0.121855316,0.131981927,0.177572331,0.208815175,0.222487071,0.20903093
CO2 emissions (kt),Sri Lanka,LKA,3840,5770,8360,8610,10930,16850.00038,17600.00038,21930.00031,21690.00053
CO2 emissions (kt),United Kingdom,GBR,561770,535180,545480,526000,530890,467779.9988,415600.0061,380809.9976,360730.011
CO2 emissions (kt),Ireland,IRL,30960,32820,34820,38420,42530,37130.00107,35529.99878,38819.99969,37659.99985
CO2 emissions (kt),Iceland,ISL,1950,2090,2270,2150,2230,1860.000014,2049.999952,1629.999995,1700.000048
CO2 emissions (kt),Australia,AUS,263630,280180,300810,328620,339450,386970.0012,371630.0049,384989.9902,387070.0073
CO2 emissions (kt),New Zealand,NZL,22310,24230,25410,27180,29450,32110.00061,31969.99931,31190.00053,32360.00061
CO2 emissions (kt),Chad,TCD,390,430,450,470,290,1860.000014,2259.99999,2210.000038,2190.000057
CO2 emissions (kt),Bangladesh,BGD,11520,13540,16830,19250,21650,57990.00168,63830.00183,74379.99725,83449.99695
CO2 emissions (kt),Haiti,HTI,1020,190,1060,1310,1470,2420.000076,3019.999981,3359.999895,3289.999962
CO2 emissions from liquid fuel consumption (kt),Sri Lanka,LKA,3670.667,5056.793,6593.266,7385.338,9732.218,13113.192,13102.191,16486.832,0
CO2 emissions from liquid fuel consumption (kt),United Kingdom,GBR,204358.243,210639.814,201424.643,193470.92,193925.628,164545.624,161381.003,167816.588,0
CO2 emissions from liquid fuel consumption (kt),Ireland,IRL,12933.509,15394.066,16395.157,19970.482,21939.661,16780.192,16794.86,18687.032,0
CO2 emissions from liquid fuel consumption (kt),Iceland,ISL,1694.154,1712.489,1925.175,1793.163,1719.823,1448.465,1653.817,1686.82,0
CO2 emissions from liquid fuel consumption (kt),Australia,AUS,82800.86,87692.638,93849.531,87193.926,90985.604,122514.47,120196.926,118909.809,0
CO2 emissions from liquid fuel consumption (kt),New Zealand,NZL,9629.542,12262.448,14374.64,15474.74,16347.486,18107.646,18390.005,19479.104,0
